ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
GSM1523380	0.476038968	0.560259513	0.906466263	1.942700203	0.506611799	0.234344518	95.58118804	Tumor
GSM1523381	0.604156725	0.21712779	0.437128333	1.704679	1.545235015	1.074403582	107.6713961	Tumor
GSM1523382	0.295205653	0.118182401	1.061994475	1.788162354	0.606104805	0.702547434	98.75637044	Tumor
GSM1523383	0.196295077	0	0.729955696	0.304759932	4.688149034	1.248253617	10.73961344	Tumor
GSM1523384	0.376940549	0.531013984	0.79239784	0.915298403	2.104047024	0.542622673	42.16989552	Tumor
GSM1523385	0.180452783	0.788022665	1.194570316	0.85996297	0.663699317	0.485269668	55.65327365	Tumor
GSM1523386	0.407993473	0.548440434	0.382939254	0.553038244	3.503375868	0.964556825	31.01147848	Tumor
GSM1523387	0.123899627	0.373066036	0.528776474	1.019186867	0.848329598	0.359332431	32.47168548	Tumor
GSM1523388	0.316159279	0.378557709	0.815812348	1.042242154	1.132180213	0.447860487	45.37250022	Tumor
GSM1523389	0.160731839	0.150269874	0.344505972	1.554321413	1.017961464	1.151950218	94.90610703	Tumor
GSM1523390	0.175966385	0.927612603	0.987878922	1.748814096	1.20630236	0.136808617	80.09561869	Tumor
GSM1523391	0.728181329	0.24587992	0.458269751	0.892978001	1.691419321	1.832647794	109.3349167	Tumor
GSM1523392	0.340915785	0.323318619	0.312629961	1.30253553	2.625488478	0.308288781	31.84273408	Tumor
GSM1523393	0.378342126	0.696991505	1.235932775	1.302140214	0.694376339	0.24498956	67.9136223	Tumor
GSM1523394	0.387425155	0.39118811	0.801835157	0.552811394	0.282904892	0.731420304	42.83600549	Tumor
GSM1523395	0.378199981	0.471396665	0.736569909	0.913988364	0.520429703	0.30151977	37.54324959	Tumor
GSM1523396	0.483503868	0.853307663	1.181494291	1.779563246	0.686395836	0.199340272	96.44861828	Tumor
GSM1523397	0.462412187	0.512050599	0.810095797	1.016524157	4.277823562	0.134693341	11.15580494	Tumor
GSM1523398	0.147012857	0.451279617	0.495094408	1.959132215	0.340476134	0.695485406	106.4478782	Tumor
GSM1523399	0.398000398	0.451627131	0.472320071	1.701493505	0.46378836	1.9158964	164.2780851	Tumor
GSM1523400	0.416657839	0.401591756	1.007512961	1.196287032	0.428446266	0.112773049	45.87376793	Tumor
GSM1523401	0.393234457	0.543816937	0.670965509	1.221351205	4.381253251	0.269533851	25.88417102	Tumor
GSM1523402	0.227146825	0.343030637	1.179116145	1.047524071	1.848767463	0.428550814	42.34054675	Tumor
GSM1523403	0.023622054	0.480625935	1.022431587	1.822389836	0.521998013	0.928879105	117.317969	Tumor
GSM1523404	0.276007873	0.850229407	0.669138162	1.139509248	1.330912278	0.397560685	56.32095801	Tumor
GSM1523405	0.143239415	0.379032877	0.868478575	1.875662801	2.068603117	0.906813167	105.2121848	Tumor
GSM1523406	0.277529404	0.381093907	0.636428902	1.643857229	0.839486094	1.232280812	118.9094395	Tumor
GSM1523407	0.436017021	0.588449117	0.879116309	0.605600019	0.563801921	0.938928972	62.84660771	Tumor
GSM1523408	0.054353958	0.265444744	0.882937511	1.193288	0.997138361	0.167992986	31.17282846	Tumor
GSM1523409	0.287947508	0.366253072	1.081931198	2.70349557	0.524352643	0.932747539	167.5021136	Tumor
GSM1523410	0.204158685	0.559130661	0.615375722	0.558145348	5.566004923	0.820258052	8.266304487	Tumor
GSM1523411	0.453987644	0.936950853	1.060103494	0.767469974	0.402776935	0.242890384	47.15267714	Tumor
GSM1523412	0.267542575	0.462049722	0.753667871	1.015575454	0.967776031	0.900302724	70.38570605	Tumor
GSM1523413	0.451938171	0.57235585	1.308863571	2.653271735	0.675602842	0.518130454	153.7755511	Tumor
GSM1523414	0.452911737	0.521885451	0.324024041	1.027497719	3.297821111	0.086498784	8.424445782	Tumor
GSM1523415	0.46834647	0.600518561	1.086279917	1.88192239	1.128504093	0.383407264	99.97186542	Tumor
GSM1523416	0.606060165	1.078504443	0.808796566	0.778928983	0.834408613	0.433162062	58.41946203	Tumor
GSM1523417	0.167653192	0.338988956	0.954278791	1.217247117	0.397712597	0.814284159	77.95039379	Tumor
GSM1523418	0	0.685598599	1.176300525	2.080857443	0.252012786	0.418410605	112.4063799	Tumor
GSM1523419	0.154325233	0.841794785	1.051328581	1.328875029	0.346243225	0.187507007	64.9518489	Tumor
