ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-EP-A26S-01A-11R-A16W-07	0.542808491	1.686746085	1.25293639	0.802760418	1.842215418	1.303575923	5.378874709	Tumor
TCGA-DD-AADG-01A-11R-A41C-07	0.629921991	1.531186687	1.566746519	1.261539101	2.244481798	2.124163771	7.881254969	Tumor
TCGA-DD-A4NO-01A-11R-A28V-07	0.756707413	1.554844102	1.575820584	1.222456515	2.483514308	1.719791146	6.653079931	Tumor
TCGA-2Y-A9H6-01A-11R-A39D-07	1.049397146	1.501819609	0.919542075	1.988670026	2.931481669	2.91496915	9.940778055	Tumor
TCGA-DD-AACF-01A-11R-A41C-07	0.467244446	1.492726892	1.703252648	1.062293513	1.605546384	1.999919339	8.507263503	Tumor
TCGA-2Y-A9H2-01A-12R-A38B-07	0.971339567	0.601200528	1.525739371	1.670037076	0.551125296	2.223653729	14.59335855	Tumor
TCGA-DD-AAE3-01A-11R-A41C-07	0.629007767	1.533748155	1.889409227	1.119582826	1.805461729	3.327042913	10.30325961	Tumor
TCGA-MI-A75I-01A-11R-A32O-07	0.963462648	1.734724296	1.39161155	1.752760397	1.382797541	1.868643481	11.6206003	Tumor
TCGA-DD-AADN-01A-11R-A41C-07	2.240283652	2.744976736	2.293364668	2.884772271	0.299329828	2.270612923	20.6327926	Tumor
TCGA-DD-AAE2-01A-11R-A41C-07	0.670712811	2.003027449	1.288098639	1.665627653	2.609155609	1.442226492	7.237508675	Tumor
TCGA-DD-AAVP-01A-11R-A41C-07	1.547166197	1.916115919	1.484492245	2.16646522	1.876823018	3.15971198	14.21640851	Tumor
TCGA-DD-A1EK-01A-11R-A213-07	0.855202	1.649249172	1.041917091	2.729764311	1.284850074	1.796738217	15.51478104	Tumor
TCGA-G3-A3CK-01A-11R-A213-07	0.684471043	1.471291958	0.938539295	0.631084705	2.09936591	1.561226987	4.269694186	Tumor
TCGA-DD-AAVU-01A-11R-A41C-07	1.358189438	2.465710177	2.00673125	1.392380912	1.461043054	2.291059737	10.89483597	Tumor
TCGA-HP-A5N0-01A-11R-A28V-07	0.551087337	1.428922197	0.939555063	1.839154525	2.184048546	3.673968213	11.94385058	Tumor
TCGA-XR-A8TD-01A-12R-A39D-07	0.446778862	1.538275719	1.316097302	1.949013309	2.362605132	3.604599799	12.12248639	Tumor
TCGA-CC-A5UD-01A-11R-A28V-07	1.448975744	1.732563289	1.712143377	2.560312931	1.097850723	2.436020726	17.08497073	Tumor
TCGA-DD-A4NH-01A-11R-A27V-07	1.276625824	1.386466757	1.733376065	2.721328125	1.475758708	3.397477798	18.25492328	Tumor
TCGA-DD-AADC-01A-11R-A41C-07	1.241860067	3.142174824	3.573353279	1.041047696	2.875649275	2.650413424	7.517746798	Tumor
TCGA-ZS-A9CD-01A-11R-A37K-07	1.159378654	1.63641728	1.570438631	2.121636056	1.864985677	2.953635745	13.8015162	Tumor
TCGA-FV-A2QQ-01A-11R-A22L-07	1.307026568	2.229014011	1.872696068	1.953797197	1.486699072	2.077027229	12.88050937	Tumor
TCGA-DD-AADK-01A-11R-A41C-07	1.337234785	1.723330762	1.65794491	1.442604483	2.243784175	3.321037826	10.65000005	Tumor
TCGA-DD-AAE6-01A-11R-A41C-07	1.245613824	1.780755509	1.981205692	2.501744817	2.120015923	1.371330608	13.01171821	Tumor
TCGA-DD-AAE7-01A-11R-A41C-07	1.787155766	1.691030259	1.102715989	0.867554117	3.667947717	3.040834046	4.086084716	Tumor
TCGA-DD-A73E-01A-12R-A32O-07	0.370479872	1.446737801	0.952326823	2.004396599	2.73663578	1.873211033	8.748803794	Tumor
TCGA-DD-A3A2-01A-11R-A213-07	0.529129779	1.350590247	0.830824072	1.225547968	4.574749673	1.331290809	0.255308293	Tumor
TCGA-EP-A2KC-01A-11R-A213-07	0.656742782	1.785810182	1.787244926	1.820650783	2.439719472	2.398987002	10.21039336	Tumor
TCGA-K7-A5RF-01A-11R-A28V-07	0.226198119	1.300131424	0.352086173	1.124945437	4.753670333	2.838274348	0.805469096	Tumor
TCGA-G3-AAV6-01A-21R-A37K-07	1.128434822	2.326213882	1.561418293	2.654125493	2.554917994	3.831523947	15.10270108	Tumor
TCGA-ZS-A9CF-01A-11R-A38B-07	0.510411644	0.776353904	0.324911623	2.313085595	3.254783507	1.653597055	8.330011944	Tumor
TCGA-DD-AAED-01A-12R-A41C-07	0.973237615	1.588168245	2.216150345	1.848250047	1.59083258	3.737878071	14.94267774	Tumor
TCGA-DD-A4NK-01A-11R-A28V-07	0.549090388	1.190228372	0.90644966	1.009480354	2.56027183	1.876564549	5.209019506	Tumor
TCGA-G3-A5SI-01A-31R-A27V-07	0.640261828	1.809919285	1.671947129	1.752760397	2.457575533	1.829515424	8.974398646	Tumor
TCGA-MI-A75C-01A-11R-A32O-07	1.526344213	1.74678236	2.104629312	1.477715964	1.476989414	2.20978799	11.7197219	Tumor
TCGA-DD-AACC-01A-11R-A41C-07	1.126180087	1.806996731	1.38731888	1.40561274	3.013688644	2.582980092	7.167851814	Tumor
TCGA-MR-A8JO-01A-12R-A36F-07	0.867071626	1.345484826	1.104159093	2.781773742	1.860171287	5.346643167	19.35814706	Tumor
TCGA-ED-A7XP-01A-11R-A352-07	0.754548458	1.709758223	1.357150793	1.422702021	2.714028919	2.397969489	7.536433284	Tumor
TCGA-2Y-A9GY-01A-11R-A38B-07	1.561828689	1.643861717	1.557732324	2.009827745	1.753504847	2.151791575	12.73994579	Tumor
TCGA-DD-AAE0-01A-11R-A41C-07	1.633259818	2.482783899	2.795077589	2.95714405	1.300203089	4.070674351	21.20606053	Tumor
TCGA-DD-A4NN-01A-11R-A28V-07	1.426490443	2.087811363	2.048384257	2.935580073	2.142797931	2.33538755	16.07466507	Tumor
TCGA-DD-AACA-02B-11R-A41C-07	1.07983515	1.935313449	2.098855297	1.488518707	2.664704588	2.417752321	8.753692969	Tumor
TCGA-DD-AACA-01A-11R-A41C-07	0.267669304	1.049718509	1.54291912	1.722264984	2.998833733	2.075179245	7.947830093	Tumor
TCGA-ZP-A9D1-01A-11R-A38B-07	0.656441654	1.555499637	1.69931347	1.771067816	1.395312732	2.938694262	13.3419783	Tumor
TCGA-CC-A9FW-01A-11R-A37K-07	0.780373385	1.580931323	1.781260963	1.359542033	2.83652765	1.063709558	5.679574602	Tumor
TCGA-G3-AAV5-01A-11R-A37K-07	1.078386408	2.054661719	2.174832531	1.80686985	2.636821466	1.930015977	9.50793113	Tumor
TCGA-DD-AAVS-01A-11R-A41C-07	0.588718195	1.622499314	1.632982169	1.193281656	2.380941488	2.649187001	7.955956583	Tumor
TCGA-2Y-A9GZ-01A-11R-A39D-07	0.511472776	1.675033576	1.030718472	0.447347246	2.469791652	1.141802534	1.892677853	Tumor
TCGA-BD-A2L6-01A-11R-A213-07	1.310061856	1.868292528	1.490607713	2.256796475	1.163566039	2.580803226	15.46247177	Tumor
TCGA-DD-A1ED-01A-11R-A155-07	0.437571705	0.744445568	0.347457707	0.269186146	2.762592271	1.833590372	1.181285678	Tumor
TCGA-O8-A75V-01A-11R-A32O-07	1.266400733	1.790938754	1.655744944	1.78439525	2.350322152	2.843583336	11.09902082	Tumor
TCGA-2Y-A9H4-01A-11R-A38B-07	1.430714479	2.188478868	2.194599828	1.722264984	1.256063527	2.118094485	12.94282384	Tumor
TCGA-G3-AAV7-01A-11R-A38B-07	2.215721014	3.011178587	2.757046049	2.56768154	1.158887175	2.50622955	17.79582188	Tumor
TCGA-DD-A39W-01A-11R-A213-07	0.547133267	0.888026272	0.764885868	0.986491518	3.231975901	0.508110309	1.651005073	Tumor
