ID	Type	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore
TCGA-DD-A1EL-11A-11R-A155-07	Normal	0.286631081322206	0.845980219098688	0.379186441886162	0.515634179345353	5.09690054827204	0.677473819505211	-5.18992305150718
TCGA-DD-A39X-11A-11R-A213-07	Normal	0.320170119366445	0.78206404178283	0.727232827845241	0.465525069010835	4.99280652657918	0.658588002271791	-4.76890713495334
TCGA-BC-A216-11A-11R-A155-07	Normal	0.422614706123516	1.17541925820904	0.548267251100191	0.6785477754858	5.54150314980091	1.03703987431457	-5.05665460845564
TCGA-FV-A2QR-11A-11R-A213-07	Normal	0.377334644362282	0.687171837342987	0.572842898177256	0.961778263969077	4.29394296326713	1.94935105292095	0.712773954002211
TCGA-BD-A3EP-11A-12R-A22L-07	Normal	0.33458797120595	1.1197246146433	0.150752459018351	1.1085825859596	5.49393612262866	1.11984678532313	-3.43150089847182
TCGA-DD-A1EG-11A-11R-A213-07	Normal	0.452447412836596	1.23948479816491	0.551067361242812	0.941696089296591	5.01733834970733	2.03050559115526	-1.33887990015046
TCGA-FV-A23B-11A-11R-A16W-07	Normal	0.434853193649809	0.729606112453239	0.610377846119802	0.775859047870513	4.82606258153333	1.52319200386318	-1.90531798720843
TCGA-DD-A3A2-11A-11R-A213-07	Normal	0.328082492950071	0.920303480876118	0.870084293435276	0.176907828934327	5.19333889012587	1.23478927217205	-5.6324292672452
TCGA-DD-A3A8-11A-11R-A22L-07	Normal	0.455167698591513	1.68397630948892	0.595373670788475	1.10054870553445	5.17558001444082	0.926088161417802	-2.76385808064716
TCGA-DD-A39V-11A-11R-A213-07	Normal	0.542662759600271	1.19188237066163	0.455730366559356	0.349201707470249	5.60153946917895	0.97402551352267	-6.70613369682732
TCGA-FV-A3I1-11A-11R-A22L-07	Normal	0.338801860702505	0.90021590450155	0.366777970917963	0.397154205214525	5.53952571230627	0.923460321741848	-6.45683960670046
TCGA-EP-A26S-11A-12R-A16W-07	Normal	0.199248010188498	1.05311846962239	0.580185806105114	0.409537580841416	5.55567574350956	1.1747192596867	-6.06434066184731
TCGA-DD-A39W-11A-11R-A213-07	Normal	0.187216146748421	1.13715971976944	0.512203799312048	0	5.08945186686363	1.17710994809425	-6.76269175736934
TCGA-EP-A3RK-11A-11R-A22L-07	Normal	0.374383022792944	0.926631794948076	0.885472464231359	0.216960286711969	5.11571303965459	1.52880711781842	-4.8379784588591
TCGA-DD-A39Z-11A-21R-A213-07	Normal	0.380185284196773	1.20735802479081	0.7220018414718	0.62242512669134	3.40700314318245	2.01445388663911	1.39652498957149
TCGA-BD-A2L6-11A-21R-A213-07	Normal	0.717818030576883	0.684997654737429	0.399375595829613	0.818613939613364	5.1140697905708	1.68298395061483	-2.2352967408688
TCGA-FV-A3R2-11A-11R-A22L-07	Normal	0.433660519679316	1.21335383947715	0.868437918899777	0.983892942486171	4.97985191072272	1.4786454783185	-1.49535399540606
TCGA-DD-A3A3-11A-11R-A22L-07	Normal	0.28482964919328	0.970650224826698	0.505280173101783	0.601782827871069	5.96054994331668	1.94978602675635	-5.17986691125861
TCGA-G3-A3CH-11A-11R-A22L-07	Normal	0.471242163257875	1.12953214176861	0.55678834032422	0.869973105025213	5.4316242922817	1.02717009883289	-3.93128329028588
TCGA-DD-A3A5-11A-11R-A22L-07	Normal	0.326010801757044	1.05814320947397	0.246493102750986	0.329276733019193	3.71176434708452	0.62601853367502	-2.87463575057317
TCGA-DD-A1EH-11A-11R-A131-07	Normal	0.286076380571307	0.826837681889934	0.798602846421672	0.647221831439638	5.01280840546999	0.975953270384595	-3.60053969228892
TCGA-DD-A1EC-11A-11R-A131-07	Normal	0	0.874015772675955	0	0.336066415603892	5.86817213217863	1.56534114299121	-7.19982409476771
TCGA-BC-A10X-11A-11R-A131-07	Normal	0.151001239766521	0.710528947278073	0.345415193863533	0.40611292702061	5.28446856211413	1.10572803824379	-5.56655594872262
TCGA-BC-A10W-11A-11R-A131-07	Normal	0.223180560931056	0.877835936963616	0.542256507543374	0.793803801604577	5.49191153230005	0.985635189581647	-4.46763003992676
TCGA-DD-A119-11A-11R-A131-07	Normal	0.254725889886939	0.771506561245888	0.0969065601490799	0.317593726144864	6.3700650029522	0.619782217752873	-9.4820042049037
TCGA-DD-A1EI-11A-11R-A131-07	Normal	0.23695621846387	1.05917492695122	0.429089813539284	0.390052160273957	5.33220307067173	0.697672500248864	-6.37274922107761
TCGA-BC-A110-11A-11R-A131-07	Normal	0.601534161094448	1.18484418881903	0.328701405089727	0.539828853321995	5.31950194351004	1.004264603453	-5.25828468164977
TCGA-DD-A11C-11A-11R-A131-07	Normal	0.35674375810516	0.981440335836952	0.495107360685446	0.61221754741806	5.58918986559267	0.782286438166919	-5.77437997148271
TCGA-FV-A3I0-11A-11R-A22L-07	Normal	0.467700689001905	1.15608606143935	0.492336534600148	0.538020683207941	4.55102240562276	0.343361084245208	-4.16986869534874
TCGA-DD-A3A1-11A-11R-A213-07	Normal	0.65107003295706	1.42955501848579	0.687797704298507	0.811552251449936	4.703423623348	2.75008836888777	-0.00427024145344479
TCGA-DD-A11A-11A-11R-A131-07	Normal	0.105210933222273	0.596753794188325	0.259279800603965	0.433260149153404	5.84808995750614	0.77605547792613	-7.3268388824537
TCGA-BC-A10Z-11A-11R-A131-07	Normal	0.453334502029728	1.00743848935042	1.02828214206147	1.07009993680336	4.5223051327849	1.85300899462861	0.786197552771467
