ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
GSM2233087	0.909076518	0.433054339	0.433054339	0.433054339	0.433054339	0.433054339	-23.90913679	Normal
GSM2233089	0.461133999	0.487560746	0	0	4.954564619	0.889830238	-9.016760691	Normal
GSM2233091	0.677549659	0.228577984	1.306573269	0.568666758	4.780061362	0.260360559	-26.86327654	Normal
GSM2233093	1.806325878	0.877028713	0.901120215	0.358173036	5.523947311	0.072013893	-28.54715091	Normal
GSM2233095	1.783342967	0.11744847	0.655710012	0.172592064	5.054195699	0.544203204	-16.53535374	Normal
GSM2233097	1.98144011	0.532457866	0.285636462	1.426266505	5.252032862	1.138170638	-9.92705298	Normal
GSM2233099	1.014262607	0.36351493	0.994741178	1.514686736	4.329592656	1.242712642	-8.126059293	Normal
GSM2233101	1.053004985	0.892095927	1.551636013	1.599825315	3.643475846	0.368529594	-14.1432287	Normal
GSM2233103	0.928843801	0.492617781	1.022001148	0.726479523	5.151181461	0	-30.60894415	Normal
GSM2233105	0	0.737946069	1.312572938	1.212321885	5.0012763	0.102227005	-34.06642478	Normal
GSM2233107	0.331494492	0.495831857	1.094733175	0.910253385	5.057897963	0.134073269	-31.07772103	Normal
GSM2233109	0.838758844	0	1.277876308	0.525585184	4.579137031	1.698494825	-7.579077636	Normal
GSM2233111	1.282344643	0.116438404	1.44095479	0.912338793	3.605145201	0.474103463	-10.69580231	Normal
GSM2233113	1.004605077	0.247537634	0.93261586	0.341515052	5.126169169	1.038260097	-17.01840595	Normal
GSM2233086	1.353690046	0.957354754	2.189490562	0.204814474	0.039407833	0.412899776	27.01703249	Tumor
GSM2233088	1.132698335	0.259709903	1.113253706	0.830893691	3.684038728	1.863368074	7.141165854	Tumor
GSM2233090	0.337161648	1.013932732	1.606332502	1.095522713	0.634681957	0.406151933	19.91826211	Tumor
GSM2233092	1.772377895	1.131244042	1.87434824	1.293066045	1.825361618	2.188851082	28.68022796	Tumor
GSM2233094	2.616592803	1.432314258	1.996704955	0.357320104	0.392777292	1.001699872	36.2604485	Tumor
GSM2233096	1.820227563	1.909996217	2.683634869	1.395239232	1.955378638	1.167936951	9.603682306	Tumor
GSM2233098	0.917566307	0.742216733	1.536779684	1.866948878	0.941643819	0.019768567	12.38409595	Tumor
GSM2233100	1.622492299	0.998359337	1.463303926	1.99691095	0.899432201	0.681922684	23.74856953	Tumor
GSM2233102	1.119404084	0.694937987	1.525003503	1.839248599	1.21203813	0.951900452	20.64593931	Tumor
GSM2233104	2.845752938	0.592255807	1.694482903	1.471683473	2.639393069	1.245359873	12.27170496	Tumor
GSM2233106	1.548447931	0.811531135	1.514519119	0.739974784	0.747385777	1.732090352	39.13833642	Tumor
GSM2233108	2.048737371	1.953069852	3.161959132	0.612333324	0	2.373768364	44.55741322	Tumor
GSM2233110	1.001933101	1.084599857	2.164541015	1.424649565	1.267164592	0.424254399	9.412542285	Tumor
GSM2233112	2.687069402	2.494208992	3.610558972	1.162581775	0.774342744	2.927578458	39.82181301	Tumor
